datum,datum_iso,stunde,geraet_id,standort,latitude,longitude,kfz,pkw,lkw,lfw,krad,fahrrad,v_kfz,v_pkw,v_lkw,v85,modal_share_pkw,modal_share_fahrrad,modal_share_lkw,modal_share_krad
02.01.2023,2023-01-02,18,SEN-001,Handjerystraße,52.4752,13.3594,5309,3652,310,431,916,4465,29.4,30.4,26.1,34.9,37.4,45.7,3.2,9.4
02.01.2023,2023-01-02,19,SEN-001,Handjerystraße,52.4752,13.3594,3422,2348,209,326,539,2865,31.6,32.6,30.7,37.3,37.3,45.6,3.3,8.6
02.01.2023,2023-01-02,20,SEN-001,Handjerystraße,52.4752,13.3594,1518,1122,111,106,179,1164,36.6,38.6,33.7,42.7,41.8,43.4,4.1,6.7
02.01.2023,2023-01-02,21,SEN-001,Handjerystraße,52.4752,13.3594,446,297,24,41,84,362,38.0,42.0,32.6,46.2,36.8,44.8,3.0,10.4
02.01.2023,2023-01-02,22,SEN-001,Handjerystraße,52.4752,13.3594,146,96,8,9,33,120,37.2,41.1,33.2,42.6,36.1,45.1,3.0,12.4
02.01.2023,2023-01-02,23,SEN-001,Handjerystraße,52.4752,13.3594,87,60,4,6,17,75,32.2,33.8,29.6,36.6,37.0,46.3,2.5,10.5
03.01.2023,2023-01-03,0,SEN-001,Handjerystraße,52.4752,13.3594,72,52,5,6,9,65,33.0,34.8,28.9,37.9,38.0,47.4,3.6,6.6
03.01.2023,2023-01-03,1,SEN-001,Handjerystraße,52.4752,13.3594,72,53,5,5,9,64,38.1,40.7,33.1,44.8,39.0,47.1,3.7,6.6
03.01.2023,2023-01-03,2,SEN-001,Handjerystraße,52.4752,13.3594,78,54,3,6,15,61,34.6,37.6,27.6,40.1,38.8,43.9,2.2,10.8
03.01.2023,2023-01-03,3,SEN-001,Handjerystraße,52.4752,13.3594,93,65,5,6,17,81,40.9,45.4,34.0,47.8,37.4,46.6,2.9,9.8
03.01.2023,2023-01-03,4,SEN-001,Handjerystraße,52.4752,13.3594,166,109,11,13,33,143,35.1,38.3,30.3,40.1,35.3,46.3,3.6,10.7
03.01.2023,2023-01-03,5,SEN-001,Handjerystraße,52.4752,13.3594,570,406,34,40,90,452,35.6,38.1,30.8,40.6,39.7,44.2,3.3,8.8
03.01.2023,2023-01-03,6,SEN-001,Handjerystraße,52.4752,13.3594,1622,1132,88,138,264,1362,34.6,35.7,36.7,40.0,37.9,45.6,2.9,8.8
03.01.2023,2023-01-03,7,SEN-001,Handjerystraße,52.4752,13.3594,3156,2425,137,253,341,2479,31.2,32.8,23.7,36.1,43.0,44.0,2.4,6.1
03.01.2023,2023-01-03,8,SEN-001,Handjerystraße,52.4752,13.3594,3879,2775,216,286,602,3111,31.9,33.3,29.0,37.8,39.7,44.5,3.1,8.6
03.01.2023,2023-01-03,9,SEN-001,Handjerystraße,52.4752,13.3594,3105,2307,197,229,372,2483,30.8,32.1,26.2,36.4,41.3,44.4,3.5,6.7
03.01.2023,2023-01-03,10,SEN-001,Handjerystraße,52.4752,13.3594,1679,1192,95,143,249,1350,35.2,39.5,21.2,42.6,39.4,44.6,3.1,8.2
03.01.2023,2023-01-03,11,SEN-001,Handjerystraße,52.4752,13.3594,581,424,23,44,90,471,35.6,36.9,37.5,41.0,40.3,44.8,2.2,8.6
03.01.2023,2023-01-03,12,SEN-001,Handjerystraße,52.4752,13.3594,211,146,13,17,35,155,36.6,40.4,28.2,44.0,39.9,42.3,3.6,9.6
03.01.2023,2023-01-03,13,SEN-001,Handjerystraße,52.4752,13.3594,149,105,8,10,26,133,37.8,41.8,28.4,42.8,37.2,47.2,2.8,9.2
03.01.2023,2023-01-03,14,SEN-001,Handjerystraße,52.4752,13.3594,405,307,22,30,46,347,33.8,34.5,35.1,40.1,40.8,46.1,2.9,6.1
03.01.2023,2023-01-03,15,SEN-001,Handjerystraße,52.4752,13.3594,1325,992,55,125,153,1026,36.0,38.4,29.6,41.2,42.2,43.6,2.3,6.5
03.01.2023,2023-01-03,16,SEN-001,Handjerystraße,52.4752,13.3594,3077,2379,202,252,244,2484,32.4,33.7,27.7,38.4,42.8,44.7,3.6,4.4
03.01.2023,2023-01-03,17,SEN-001,Handjerystraße,52.4752,13.3594,4720,3237,236,371,876,3934,28.4,28.7,27.3,33.6,37.4,45.5,2.7,10.1
03.01.2023,2023-01-03,18,SEN-001,Handjerystraße,52.4752,13.3594,4715,3515,173,366,661,3785,30.1,30.9,27.8,35.2,41.4,44.5,2.0,7.8
03.01.2023,2023-01-03,19,SEN-001,Handjerystraße,52.4752,13.3594,3016,2097,99,239,581,2407,30.2,30.9,29.2,35.7,38.7,44.4,1.8,10.7
03.01.2023,2023-01-03,20,SEN-001,Handjerystraße,52.4752,13.3594,1318,917,76,105,220,1066,33.5,36.1,27.3,40.1,38.5,44.7,3.2,9.2
03.01.2023,2023-01-03,21,SEN-001,Handjerystraße,52.4752,13.3594,381,276,22,28,55,305,32.6,33.7,31.7,39.1,40.2,44.5,3.2,8.0
03.01.2023,2023-01-03,22,SEN-001,Handjerystraße,52.4752,13.3594,129,88,8,10,23,103,34.2,36.5,31.2,39.5,37.9,44.4,3.4,9.9
03.01.2023,2023-01-03,23,SEN-001,Handjerystraße,52.4752,13.3594,85,62,5,5,13,71,33.9,35.2,33.8,40.3,39.7,45.5,3.2,8.3
04.01.2023,2023-01-04,0,SEN-001,Handjerystraße,52.4752,13.3594,98,67,6,8,17,68,34.4,36.3,33.2,40.2,40.4,41.0,3.6,10.2
04.01.2023,2023-01-04,1,SEN-001,Handjerystraße,52.4752,13.3594,105,71,7,6,21,56,37.0,41.6,26.2,43.2,44.1,34.8,4.3,13.0
04.01.2023,2023-01-04,2,SEN-001,Handjerystraße,52.4752,13.3594,94,67,6,7,14,67,35.9,38.6,30.4,41.4,41.6,41.6,3.7,8.7
04.01.2023,2023-01-04,3,SEN-001,Handjerystraße,52.4752,13.3594,110,79,5,8,18,64,29.9,29.7,34.0,35.3,45.4,36.8,2.9,10.3
04.01.2023,2023-01-04,4,SEN-001,Handjerystraße,52.4752,13.3594,229,166,15,22,26,132,38.1,42.7,24.4,44.8,46.0,36.6,4.2,7.2
04.01.2023,2023-01-04,5,SEN-001,Handjerystraße,52.4752,13.3594,648,441,29,55,123,475,28.9,29.4,27.9,33.6,39.3,42.3,2.6,11.0
04.01.2023,2023-01-04,6,SEN-001,Handjerystraße,52.4752,13.3594,2000,1469,123,142,266,1282,35.2,37.9,27.1,41.3,44.8,39.1,3.7,8.1
04.01.2023,2023-01-04,7,SEN-001,Handjerystraße,52.4752,13.3594,3770,2728,232,288,522,2469,36.5,40.0,26.6,42.7,43.7,39.6,3.7,8.4
04.01.2023,2023-01-04,8,SEN-001,Handjerystraße,52.4752,13.3594,4611,3405,204,335,667,3069,28.6,29.3,25.2,32.8,44.3,40.0,2.7,8.7
04.01.2023,2023-01-04,9,SEN-001,Handjerystraße,52.4752,13.3594,3760,2777,273,340,370,2462,29.6,29.9,28.9,34.8,44.6,39.6,4.4,5.9
04.01.2023,2023-01-04,10,SEN-001,Handjerystraße,52.4752,13.3594,2065,1503,97,142,323,1297,36.5,39.5,29.1,44.1,44.7,38.6,2.9,9.6
04.01.2023,2023-01-04,11,SEN-001,Handjerystraße,52.4752,13.3594,742,549,34,63,96,483,31.9,31.8,36.0,38.1,44.8,39.4,2.8,7.8
04.01.2023,2023-01-04,12,SEN-001,Handjerystraße,52.4752,13.3594,200,150,9,16,25,150,39.0,42.0,32.0,47.4,42.9,42.9,2.6,7.1
04.01.2023,2023-01-04,13,SEN-001,Handjerystraße,52.4752,13.3594,169,127,11,14,17,110,28.6,29.4,24.8,34.2,45.5,39.4,3.9,6.1
04.01.2023,2023-01-04,14,SEN-001,Handjerystraße,52.4752,13.3594,466,321,24,37,84,305,36.3,38.3,37.4,41.7,41.6,39.6,3.1,10.9
04.01.2023,2023-01-04,15,SEN-001,Handjerystraße,52.4752,13.3594,1510,1041,125,110,234,1061,38.0,40.8,35.8,44.7,40.5,41.3,4.9,9.1
04.01.2023,2023-01-04,16,SEN-001,Handjerystraße,52.4752,13.3594,3646,2555,262,343,486,2349,28.4,29.5,24.0,34.2,42.6,39.2,4.4,8.1
04.01.2023,2023-01-04,17,SEN-001,Handjerystraße,52.4752,13.3594,5650,4147,291,461,751,3703,27.0,27.1,25.8,30.8,44.3,39.6,3.1,8.0
04.01.2023,2023-01-04,18,SEN-001,Handjerystraße,52.4752,13.3594,5822,4306,466,455,595,3773,24.9,25.5,19.9,29.8,44.9,39.3,4.9,6.2
04.01.2023,2023-01-04,19,SEN-001,Handjerystraße,52.4752,13.3594,3696,2580,93,263,760,2349,34.2,36.9,28.0,39.7,42.7,38.9,1.5,12.6
04.01.2023,2023-01-04,20,SEN-001,Handjerystraße,52.4752,13.3594,1594,1175,113,140,166,995,36.1,37.7,33.8,42.8,45.4,38.4,4.4,6.4
04.01.2023,2023-01-04,21,SEN-001,Handjerystraße,52.4752,13.3594,499,376,28,35,60,336,33.0,33.8,33.3,39.7,45.0,40.2,3.4,7.2
04.01.2023,2023-01-04,22,SEN-001,Handjerystraße,52.4752,13.3594,171,126,13,13,19,106,36.7,38.8,32.8,44.7,45.5,38.3,4.7,6.9
04.01.2023,2023-01-04,23,SEN-001,Handjerystraße,52.4752,13.3594,94,72,5,7,10,79,35.1,36.9,30.3,41.9,41.6,45.7,2.9,5.8
05.01.2023,2023-01-05,0,SEN-001,Handjerystraße,52.4752,13.3594,74,52,2,6,14,62,38.4,43.2,25.1,46.8,38.2,45.6,1.5,10.3
05.01.2023,2023-01-05,1,SEN-001,Handjerystraße,52.4752,13.3594,69,48,3,6,12,64,35.9,39.1,29.6,42.7,36.1,48.1,2.3,9.0
05.01.2023,2023-01-05,2,SEN-001,Handjerystraße,52.4752,13.3594,62,42,4,5,11,92,34.1,36.8,29.0,38.6,27.3,59.7,2.6,7.1
05.01.2023,2023-01-05,3,SEN-001,Handjerystraße,52.4752,13.3594,89,62,5,7,15,99,37.6,40.7,33.6,45.1,33.0,52.7,2.7,8.0
05.01.2023,2023-01-05,4,SEN-001,Handjerystraße,52.4752,13.3594,177,121,10,14,32,182,31.8,33.9,26.3,37.3,33.7,50.7,2.8,8.9
05.01.2023,2023-01-05,5,SEN-001,Handjerystraße,52.4752,13.3594,504,358,27,30,89,552,32.0,34.6,21.6,37.9,33.9,52.3,2.6,8.4
05.01.2023,2023-01-05,6,SEN-001,Handjerystraße,52.4752,13.3594,1503,1081,81,116,225,1628,32.8,32.9,38.0,39.1,34.5,52.0,2.6,7.2
05.01.2023,2023-01-05,7,SEN-001,Handjerystraße,52.4752,13.3594,2916,2097,167,213,439,2978,27.4,27.6,25.8,32.4,35.6,50.5,2.8,7.4
05.01.2023,2023-01-05,8,SEN-001,Handjerystraße,52.4752,13.3594,3646,2655,189,357,445,3678,30.5,31.7,26.7,36.7,36.3,50.2,2.6,6.1
05.01.2023,2023-01-05,9,SEN-001,Handjerystraße,52.4752,13.3594,2882,2133,210,236,303,2912,36.6,40.4,24.4,43.1,36.8,50.3,3.6,5.2
05.01.2023,2023-01-05,10,SEN-001,Handjerystraße,52.4752,13.3594,1554,1070,85,133,266,1499,37.9,39.9,40.1,45.3,35.0,49.1,2.8,8.7
05.01.2023,2023-01-05,11,SEN-001,Handjerystraße,52.4752,13.3594,528,378,30,33,87,526,36.4,38.8,33.5,43.6,35.9,49.9,2.8,8.3
05.01.2023,2023-01-05,12,SEN-001,Handjerystraße,52.4752,13.3594,175,125,13,11,26,187,33.8,34.8,34.8,38.8,34.5,51.7,3.6,7.2
05.01.2023,2023-01-05,13,SEN-001,Handjerystraße,52.4752,13.3594,140,101,9,11,19,149,33.2,35.0,29.1,40.4,34.9,51.6,3.1,6.6
05.01.2023,2023-01-05,14,SEN-001,Handjerystraße,52.4752,13.3594,355,253,25,20,57,387,35.2,38.3,26.8,41.0,34.1,52.2,3.4,7.7
05.01.2023,2023-01-05,15,SEN-001,Handjerystraße,52.4752,13.3594,1235,901,73,104,157,1291,33.2,35.7,25.0,38.5,35.7,51.1,2.9,6.2
05.01.2023,2023-01-05,16,SEN-001,Handjerystraße,52.4752,13.3594,2921,2029,190,258,444,2920,34.7,37.0,30.9,41.7,34.7,50.0,3.3,7.6
05.01.2023,2023-01-05,17,SEN-001,Handjerystraße,52.4752,13.3594,4442,3186,263,353,640,4515,29.8,31.2,24.2,33.8,35.6,50.4,2.9,7.1
05.01.2023,2023-01-05,18,SEN-001,Handjerystraße,52.4752,13.3594,4337,3046,260,353,678,4707,28.9,30.2,23.6,34.0,33.7,52.0,2.9,7.5
05.01.2023,2023-01-05,19,SEN-001,Handjerystraße,52.4752,13.3594,2862,2153,203,199,307,2894,32.2,34.4,23.3,39.2,37.4,50.3,3.5,5.3
05.01.2023,2023-01-05,20,SEN-001,Handjerystraße,52.4752,13.3594,1164,857,59,92,156,1255,41.0,44.7,33.4,48.4,35.4,51.9,2.4,6.4
05.01.2023,2023-01-05,21,SEN-001,Handjerystraße,52.4752,13.3594,384,280,29,26,49,369,35.9,38.7,28.4,43.8,37.2,49.0,3.9,6.5
05.01.2023,2023-01-05,22,SEN-001,Handjerystraße,52.4752,13.3594,119,87,7,7,18,136,32.7,33.1,35.9,39.2,34.1,53.3,2.7,7.1
05.01.2023,2023-01-05,23,SEN-001,Handjerystraße,52.4752,13.3594,85,62,4,6,13,88,31.0,32.4,26.1,36.1,35.8,50.9,2.3,7.5
06.01.2023,2023-01-06,0,SEN-001,Handjerystraße,52.4752,13.3594,74,56,5,5,8,35,45.0,49.1,35.8,53.0,51.4,32.1,4.6,7.3
06.01.2023,2023-01-06,1,SEN-001,Handjerystraße,52.4752,13.3594,81,57,6,5,13,37,44.0,49.4,34.8,52.7,48.3,31.4,5.1,11.0
06.01.2023,2023-01-06,2,SEN-001,Handjerystraße,52.4752,13.3594,92,68,5,7,12,56,35.1,37.5,28.9,41.2,45.9,37.8,3.4,8.1
06.01.2023,2023-01-06,3,SEN-001,Handjerystraße,52.4752,13.3594,90,64,3,7,16,44,41.1,45.4,34.9,47.5,47.8,32.8,2.2,11.9
06.01.2023,2023-01-06,4,SEN-001,Handjerystraße,52.4752,13.3594,195,141,9,14,31,88,35.8,39.2,25.4,43.6,49.8,31.1,3.2,11.0
06.01.2023,2023-01-06,5,SEN-001,Handjerystraße,52.4752,13.3594,633,464,40,51,78,317,39.4,42.7,32.5,47.7,48.8,33.4,4.2,8.2
06.01.2023,2023-01-06,6,SEN-001,Handjerystraße,52.4752,13.3594,1724,1176,91,125,332,881,35.4,38.8,28.2,42.1,45.1,33.8,3.5,12.7
06.01.2023,2023-01-06,7,SEN-001,Handjerystraße,52.4752,13.3594,3259,2468,212,236,343,1654,29.8,30.3,28.3,33.9,50.2,33.7,4.3,7.0
06.01.2023,2023-01-06,8,SEN-001,Handjerystraße,52.4752,13.3594,4182,2999,358,300,525,2025,34.8,36.8,30.8,41.5,48.3,32.6,5.8,8.5
06.01.2023,2023-01-06,9,SEN-001,Handjerystraße,52.4752,13.3594,3263,2295,159,237,572,1669,28.7,29.3,26.1,33.8,46.5,33.8,3.2,11.6
06.01.2023,2023-01-06,10,SEN-001,Handjerystraße,52.4752,13.3594,1680,1226,114,100,240,847,34.9,36.4,33.7,42.6,48.5,33.5,4.5,9.5
06.01.2023,2023-01-06,11,SEN-001,Handjerystraße,52.4752,13.3594,646,441,39,47,119,327,31.4,32.0,33.4,37.0,45.3,33.6,4.0,12.2
06.01.2023,2023-01-06,12,SEN-001,Handjerystraße,52.4752,13.3594,182,136,12,12,22,109,35.2,36.1,36.5,41.4,46.7,37.5,4.1,7.6
06.01.2023,2023-01-06,13,SEN-001,Handjerystraße,52.4752,13.3594,161,116,10,13,22,84,31.2,32.4,28.2,36.3,47.3,34.3,4.1,9.0
06.01.2023,2023-01-06,14,SEN-001,Handjerystraße,52.4752,13.3594,398,273,15,33,77,216,43.1,49.4,31.3,52.6,44.5,35.2,2.4,12.5
06.01.2023,2023-01-06,15,SEN-001,Handjerystraße,52.4752,13.3594,1449,1079,80,132,158,745,36.0,38.0,32.0,41.7,49.2,34.0,3.6,7.2
06.01.2023,2023-01-06,16,SEN-001,Handjerystraße,52.4752,13.3594,3201,2307,191,290,413,1592,32.0,33.8,26.7,37.9,48.1,33.2,4.0,8.6
06.01.2023,2023-01-06,17,SEN-001,Handjerystraße,52.4752,13.3594,5158,3840,290,361,667,2527,29.3,30.4,24.2,34.2,50.0,32.9,3.8,8.7
06.01.2023,2023-01-06,18,SEN-001,Handjerystraße,52.4752,13.3594,5060,3459,333,482,786,2518,30.7,33.1,23.4,34.9,45.6,33.2,4.4,10.4
06.01.2023,2023-01-06,19,SEN-001,Handjerystraße,52.4752,13.3594,3253,2487,205,239,322,1580,30.5,31.9,24.4,37.2,51.5,32.7,4.2,6.7
06.01.2023,2023-01-06,20,SEN-001,Handjerystraße,52.4752,13.3594,1442,927,99,95,321,681,31.7,34.3,25.4,38.2,43.7,32.1,4.7,15.1
06.01.2023,2023-01-06,21,SEN-001,Handjerystraße,52.4752,13.3594,445,296,30,32,87,212,34.3,37.7,26.9,39.4,45.1,32.3,4.6,13.2
06.01.2023,2023-01-06,22,SEN-001,Handjerystraße,52.4752,13.3594,171,129,9,13,20,57,32.1,33.1,30.0,38.4,56.6,25.0,3.9,8.8
06.01.2023,2023-01-06,23,SEN-001,Handjerystraße,52.4752,13.3594,87,60,5,7,15,41,38.6,43.5,27.4,45.1,46.9,32.0,3.9,11.7
07.01.2023,2023-01-07,0,SEN-001,Handjerystraße,52.4752,13.3594,64,44,3,4,13,57,35.5,38.2,32.2,42.3,36.4,47.1,2.5,10.7
07.01.2023,2023-01-07,1,SEN-001,Handjerystraße,52.4752,13.3594,41,31,1,2,7,52,40.0,43.8,29.3,47.6,33.3,55.9,1.1,7.5
07.01.2023,2023-01-07,2,SEN-001,Handjerystraße,52.4752,13.3594,54,37,3,4,10,37,39.1,44.4,26.9,44.6,40.7,40.7,3.3,11.0
07.01.2023,2023-01-07,3,SEN-001,Handjerystraße,52.4752,13.3594,75,52,4,6,13,60,35.7,38.1,32.9,42.2,38.5,44.4,3.0,9.6
07.01.2023,2023-01-07,4,SEN-001,Handjerystraße,52.4752,13.3594,157,115,9,11,22,120,30.0,31.3,24.8,35.6,41.5,43.3,3.2,7.9
07.01.2023,2023-01-07,5,SEN-001,Handjerystraße,52.4752,13.3594,517,342,32,45,98,341,36.7,41.0,28.7,44.3,39.9,39.7,3.7,11.4
07.01.2023,2023-01-07,6,SEN-001,Handjerystraße,52.4752,13.3594,1351,1021,79,120,131,995,35.2,38.1,25.4,41.5,43.5,42.4,3.4,5.6
07.01.2023,2023-01-07,7,SEN-001,Handjerystraße,52.4752,13.3594,2369,1741,129,203,296,1883,34.4,36.9,26.8,41.1,40.9,44.3,3.0,7.0
07.01.2023,2023-01-07,8,SEN-001,Handjerystraße,52.4752,13.3594,3104,2403,205,258,238,2412,31.8,33.8,23.5,37.3,43.6,43.7,3.7,4.3
07.01.2023,2023-01-07,9,SEN-001,Handjerystraße,52.4752,13.3594,2416,1774,185,202,255,1982,27.2,26.8,28.2,31.6,40.3,45.1,4.2,5.8
07.01.2023,2023-01-07,10,SEN-001,Handjerystraße,52.4752,13.3594,1341,947,69,96,229,1007,26.4,25.2,31.4,31.2,40.3,42.9,2.9,9.8
07.01.2023,2023-01-07,11,SEN-001,Handjerystraße,52.4752,13.3594,465,339,20,43,63,379,34.2,34.1,40.9,40.6,40.2,44.9,2.4,7.5
07.01.2023,2023-01-07,12,SEN-001,Handjerystraße,52.4752,13.3594,128,98,8,9,13,120,39.0,41.7,31.7,44.3,39.5,48.4,3.2,5.2
07.01.2023,2023-01-07,13,SEN-001,Handjerystraße,52.4752,13.3594,94,71,5,8,10,99,31.4,32.0,31.0,36.4,36.8,51.3,2.6,5.2
07.01.2023,2023-01-07,14,SEN-001,Handjerystraße,52.4752,13.3594,318,230,20,31,37,236,31.1,31.9,30.0,36.3,41.5,42.6,3.6,6.7
07.01.2023,2023-01-07,15,SEN-001,Handjerystraße,52.4752,13.3594,1082,787,59,74,162,819,33.2,36.0,23.2,38.4,41.4,43.1,3.1,8.5
07.01.2023,2023-01-07,16,SEN-001,Handjerystraße,52.4752,13.3594,2557,1812,163,199,383,1902,34.2,37.7,23.1,38.9,40.6,42.7,3.7,8.6
